"","Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%","Year","EV","HardH%"
"396","Kansas City Royals",".318","91",".302",".135","2.1%","16.8%","6.6%","18.5%","45.7%","26.7%","0.87","26.1%","56.6%","17.3%","-8.4","-2.4%","-48.4","30%","78%","40%",2012,NA,NA
"397","Los Angeles Angels of Anaheim",".341","116",".311",".159","3.1%","18.2%","7.3%","17.0%","46.6%","26.8%","0.92","28.7%","53.5%","17.9%","8.9","6.4%","84.7","31%","80%","49%",2012,NA,NA
"398","Los Angeles Dodgers",".312","89",".298",".122","1.9%","19.0%","7.9%","19.4%","45.0%","25.0%","0.87","25.4%","56.2%","18.4%","-3.2","-4.8%","-32.0","29%","70%","39%",2012,NA,NA
"399","Miami Marlins",".311","81",".289",".138","2.3%","20.3%","8.0%","19.1%","43.7%","27.2%","0.82","26.9%","55.7%","17.4%","-7.8","-2.1%","-84.6","27%","78%","40%",2012,NA,NA
"400","Milwaukee Brewers",".342","101",".299",".177","3.2%","19.9%","7.5%","17.8%","43.5%","27.5%","0.82","26.0%","55.8%","18.2%","6.6","-0.2%","71.5","32%","80%","38%",2012,NA,NA
"401","Minnesota Twins",".323","99",".298",".130","2.1%","17.2%","8.1%","16.8%","48.3%","25.8%","0.98","26.3%","56.5%","17.2%","-4.3","-0.9%","-12.5","30%","78%","40%",2012,NA,NA
"402","New York Mets",".316","93",".298",".137","2.3%","20.5%","8.3%","19.3%","44.5%","27.2%","0.84","26.1%","56.4%","17.6%","-1.0","3.5%","-19.3","29%","68%","42%",2012,NA,NA
"403","New York Yankees",".349","113",".293",".188","3.9%","18.9%","9.1%","18.8%","45.4%","27.1%","0.85","29.0%","54.5%","16.5%","8.6","9.5%","83.8","30%","78%","37%",2012,NA,NA
"404","Oakland Athletics",".319","99",".281",".166","3.2%","22.4%","8.9%","19.3%","39.3%","30.4%","0.66","28.9%","54.7%","16.4%","1.1","6.6%","11.9","30%","79%","43%",2012,NA,NA
"405","Philadelphia Phillies",".323","89",".290",".144","2.6%","17.7%","7.4%","18.0%","46.5%","25.6%","0.92","30.7%","52.4%","17.0%","-0.6","-1.6%","-9.0","29%","83%","40%",2012,NA,NA
"406","Pittsburgh Pirates",".313","93",".291",".152","2.8%","22.5%","7.4%","16.9%","44.5%","28.8%","0.84","27.2%","55.4%","17.4%","-2.5","0.7%","-19.8","29%","58%","42%",2012,NA,NA
"407","San Diego Padres",".319","99",".297",".133","2.0%","20.3%","8.8%","18.0%","47.1%","25.7%","0.95","25.8%","56.8%","17.4%","-0.3","-1.9%","-2.7","29%","77%","43%",2012,NA,NA
"408","Seattle Mariners",".300","90",".276",".135","2.5%","20.8%","7.7%","20.0%","42.4%","26.5%","0.76","27.9%","54.7%","17.4%","-10.7","-2.5%","-76.4","28%","75%","38%",2012,NA,NA
"409","San Francisco Giants",".326","107",".315",".128","1.7%","17.7%","7.8%","20.0%","45.7%","25.2%","0.88","26.6%","54.1%","19.3%","9.1","5.6%","75.2","32%","75%","36%",2012,NA,NA
"410","St. Louis Cardinals",".340","108",".316",".150","2.5%","18.8%","8.4%","20.5%","46.7%","24.6%","0.92","25.0%","56.3%","18.6%","4.4","2.6%","78.2","31%","71%","41%",2012,NA,NA
"411","Tampa Bay Rays",".318","99",".284",".155","2.9%","21.7%","9.4%","17.3%","42.3%","29.4%","0.76","31.7%","54.8%","13.5%","-5.0","-6.4%","-4.3","29%","75%","40%",2012,NA,NA
"412","Texas Rangers",".344","105",".306",".173","3.2%","17.7%","7.7%","18.7%","44.3%","28.9%","0.82","25.9%","54.9%","19.1%","3.1","3.6%","81.5","32%","67%","40%",2012,NA,NA
"413","Toronto Blue Jays",".320","93",".281",".161","3.3%","20.5%","7.8%","18.4%","43.5%","28.0%","0.79","28.2%","54.8%","17.0%","-4.5","0.1%","-9.1","30%","75%","46%",2012,NA,NA
"414","Washington Nationals",".335","101",".308",".166","3.1%","21.3%","7.7%","19.4%","44.7%","26.7%","0.85","27.3%","54.2%","18.6%","5.9","4.0%","37.4","29%","75%","38%",2012,NA,NA
"415","League Average",".324","96",".297",".151","2.7%","19.8%","8.0%","18.8%","44.5%","27.3%","0.84","27.5%","55.1%","17.5%","-1","1%","2","30%","74%","41%",2012,NA,NA
"416","",".324","96",".297",".151","2.7%","19.8%","8.0%","18.8%","44.5%","27.3%","0.84","27.5%","55.1%","17.5%","-19.5","24.4%","71.2","30%","74%","41%",2012,NA,NA
"417","Arizona Diamondbacks",".321","94",".301",".133","2.1%","18.0%","8.2%","23.9%","46.6%","21.5%","0.90","23.9%","57.7%","18.4%","0.5","0.6%","18.5","29%","60%","38%",2013,NA,NA
"418","Atlanta Braves",".328","100",".300",".153","3.0%","22.6%","8.8%","22.6%","42.7%","24.0%","0.78","29.4%","52.7%","17.9%","5.6","3.8%","47.7","28%","67%","38%",2013,NA,NA
"419","Baltimore Orioles",".330","100",".288",".171","3.5%","18.3%","6.8%","21.5%","43.9%","25.5%","0.80","30.1%","52.9%","17.0%","7.8","3.8%","39.7","31%","73%","37%",2013,NA,NA
"420","Boston Red Sox",".355","117",".329",".169","2.8%","20.5%","9.1%","22.9%","42.2%","26.9%","0.75","28.5%","54.5%","17.0%","11.1","7.0%","153.5","32%","87%","39%",2013,NA,NA
"421","Chicago Cubs",".315","89",".275",".154","2.8%","20.2%","7.2%","22.5%","43.7%","24.5%","0.80","30.2%","52.5%","17.3%","-7.4","-1.0%","-53.1","26%","66%","43%",2013,NA,NA
"422","Chicago White Sox",".305","81",".291",".129","2.4%","19.9%","6.8%","22.8%","42.6%","26.2%","0.76","28.1%","53.7%","18.2%","-15.6","-3.8%","-119.9","26%","71%","36%",2013,NA,NA
"423","Cincinnati Reds",".326","98",".293",".142","2.5%","19.8%","9.3%","25.4%","44.8%","20.5%","0.86","25.7%","56.1%","18.2%","0.7","1.0%","45.6","29%","66%","40%",2013,NA,NA
"424","Cleveland Indians",".332","109",".300",".155","2.8%","20.8%","9.1%","23.2%","43.1%","25.3%","0.78","31.2%","53.3%","15.5%","7.6","6.8%","71.9","31%","76%","40%",2013,NA,NA
"425","Colorado Rockies",".334","89",".317",".149","2.6%","19.6%","6.9%","26.4%","44.9%","20.5%","0.85","23.7%","57.8%","18.5%","-1.5","-1.4%","14.3","30%","78%","44%",2013,NA,NA
"426","Detroit Tigers",".348","114",".320",".151","2.8%","16.8%","8.3%","23.8%","43.8%","25.0%","0.80","27.4%","54.2%","18.4%","3.8","6.0%","88.2","30%","64%","33%",2013,NA,NA
"427","Houston Astros",".303","85",".304",".136","2.5%","25.5%","7.1%","22.3%","45.8%","23.5%","0.88","27.8%","53.7%","18.5%","-15.6","-1.4%","-90.0","28%","64%","38%",2013,NA,NA
"428","Kansas City Royals",".315","87",".300",".119","1.8%","17.2%","6.9%","21.5%","46.6%","22.5%","0.91","26.1%","56.7%","17.2%","-4.8","-3.2%","-56.7","29%","83%","43%",2013,NA,NA
"429","Los Angeles Angels of Anaheim",".332","112",".307",".150","2.6%","19.5%","8.4%","23.4%","45.3%","23.3%","0.86","26.9%","54.8%","18.3%","2.2","-0.7%","51.9","30%","71%","43%",2013,NA,NA
"430","Los Angeles Dodgers",".328","104",".308",".133","2.3%","18.7%","7.8%","24.1%","43.3%","23.5%","0.80","25.3%","56.5%","18.2%","3.0","2.5%","19.2","28%","74%","38%",2013,NA,NA
"431","Miami Marlins",".288","68",".280",".104","1.6%","20.5%","7.2%","22.9%","47.7%","20.2%","0.96","24.0%","57.9%","18.1%","-21.6","-2.7%","-147.7","25%","73%","40%",2013,NA,NA
"432","Milwaukee Brewers",".322","92",".294",".145","2.6%","19.5%","6.7%","21.3%","46.4%","21.8%","0.93","24.8%","54.6%","20.6%","1.0","0.9%","-11.6","28%","74%","35%",2013,NA,NA
"433","Minnesota Twins",".313","90",".298",".138","2.4%","23.0%","8.6%","21.6%","43.6%","26.1%","0.79","26.5%","55.7%","17.7%","-7.1","-0.9%","-94.0","25%","61%","40%",2013,NA,NA
"434","New York Mets",".307","90",".291",".129","2.1%","22.3%","8.3%","20.7%","43.9%","25.6%","0.82","24.9%","56.1%","19.0%","-3.8","-0.2%","-23.1","28%","77%","46%",2013,NA,NA
"435","New York Yankees",".310","87",".285",".133","2.4%","20.1%","7.7%","20.8%","43.5%","25.4%","0.80","27.2%","56.3%","16.5%","-2.8","-2.6%","-44.1","30%","79%","35%",2013,NA,NA
"436","Oakland Athletics",".332","107",".289",".165","3.0%","19.0%","9.2%","24.7%","37.4%","27.2%","0.61","30.1%","52.8%","17.0%","6.5","5.0%","90.2","31%","73%","42%",2013,NA,NA
"437","Philadelphia Phillies",".313","89",".293",".135","2.3%","20.0%","6.9%","24.1%","44.9%","22.2%","0.85","29.7%","53.5%","16.8%","-2.6","-0.7%","-31.2","27%","72%","41%",2013,NA,NA
"438","Pittsburgh Pirates",".321","100",".294",".151","2.6%","21.7%","7.6%","22.6%","45.3%","23.1%","0.87","28.1%","56.6%","15.2%","-0.2","-1.2%","2.5","27%","69%","41%",2013,NA,NA
"439","San Diego Padres",".312","97",".294",".133","2.4%","21.4%","7.6%","23.3%","46.1%","22.3%","0.90","29.5%","54.1%","16.4%","-0.3","-0.3%","-1.1","27%","78%","38%",2013,NA,NA
"440","Seattle Mariners",".312","99",".279",".152","3.1%","21.9%","8.6%","23.5%","42.1%","24.7%","0.75","29.6%","53.4%","17.0%","-5.6","-2.1%","-54.0","25%","68%","38%",2013,NA,NA
"441","San Francisco Giants",".317","99",".304",".121","1.7%","17.5%","7.6%","23.3%","45.1%","22.3%","0.85","26.3%","56.0%","17.8%","3.1","2.2%","8.4","28%","72%","37%",2013,NA,NA
"442","St. Louis Cardinals",".330","101",".314",".133","2.0%","17.9%","7.8%","25.9%","45.2%","20.8%","0.86","25.4%","56.6%","18.0%","8.6","6.8%","137.0","34%","67%","43%",2013,NA,NA
"443","Tampa Bay Rays",".327","105",".295",".151","2.6%","18.8%","9.4%","21.8%","43.7%","26.3%","0.79","30.2%","53.7%","16.1%","5.3","2.2%","10.5","28%","66%","40%",2013,NA,NA
"444","Texas Rangers",".333","102",".294",".150","2.8%","17.2%","7.5%","23.0%","43.8%","23.8%","0.81","27.2%","55.8%","17.0%","0.2","-0.5%","26.3","30%","76%","42%",2013,NA,NA
"445","Toronto Blue Jays",".328","99",".284",".158","3.0%","18.3%","8.3%","22.1%","44.2%","24.0%","0.82","28.2%","55.0%","16.8%","-1.2","-0.6%","6.5","29%","73%","45%",2013,NA,NA
"446","Washington Nationals",".322","92",".292",".146","2.7%","19.7%","7.7%","24.0%","44.5%","22.0%","0.84","26.6%","53.9%","19.5%","0.6","-2.5%","7.3","29%","76%","42%",2013,NA,NA
"447","League Average",".322","97",".297",".143","2.5%","19.9%","7.9%","23.1%","44.2%","23.7%","0.82","27.4%","55.0%","17.6%","-1","1%","4","29%","73%","40%",2013,NA,NA
"448","",".322","97",".297",".143","2.5%","19.9%","7.9%","23.1%","44.2%","23.7%","0.82","27.4%","55.0%","17.6%","-22.6","22.7%","112.8","29%","73%","40%",2013,NA,NA
"449","Arizona Diamondbacks",".309","86",".293",".127","1.9%","19.1%","6.5%","26.5%","47.0%","18.8%","0.92","24.1%","58.0%","18.0%","-7.1","-0.6%","-37.1","29%","72%","42%",2014,NA,NA
"450","Atlanta Braves",".305","86",".298",".119","2.0%","22.6%","7.8%","24.1%","45.3%","22.0%","0.87","26.5%","55.5%","18.0%","-8.6","-5.2%","-65.2","26%","74%","40%",2014,NA,NA
"451","Baltimore Orioles",".330","104",".296",".166","3.4%","21.0%","6.5%","22.6%","43.6%","24.0%","0.79","31.0%","52.8%","16.2%","2.5","1.3%","28.0","29%","69%","34%",2014,NA,NA
"452","Boston Red Sox",".313","90",".297",".124","2.0%","21.5%","8.6%","23.5%","44.3%","24.9%","0.81","28.3%","56.2%","15.5%","-8.7","-3.5%","-56.3","28%","72%","42%",2014,NA,NA
"453","Chicago Cubs",".309","87",".296",".146","2.6%","24.2%","7.2%","24.7%","41.9%","22.6%","0.76","30.1%","52.6%","17.3%","-7.4","-2.4%","-44.0","28%","62%","38%",2014,NA,NA
"454","Chicago White Sox",".321","103",".306",".146","2.6%","22.4%","6.9%","24.0%","46.5%","21.0%","0.89","29.0%","52.4%","18.6%","3.4","2.5%","-3.7","29%","70%","39%",2014,NA,NA
"455","Cincinnati Reds",".305","84",".284",".127","2.2%","20.9%","6.9%","26.8%","43.3%","18.9%","0.82","27.0%","56.4%","16.5%","-9.1","-3.4%","-47.7","28%","70%","38%",2014,NA,NA
"456","Cleveland Indians",".322","96",".296",".136","2.3%","19.1%","8.1%","24.9%","43.1%","23.0%","0.79","29.5%","53.3%","17.3%","-1.1","-2.0%","-18.3","29%","79%","42%",2014,NA,NA
"457","Colorado Rockies",".343","101",".326",".169","3.0%","20.8%","6.4%","26.8%","45.3%","19.1%","0.86","24.8%","58.0%","17.2%","2.3","2.9%","70.2","31%","64%","38%",2014,NA,NA
"458","Detroit Tigers",".341","113",".319",".150","2.5%","18.5%","7.1%","24.0%","43.0%","25.8%","0.77","28.5%","53.8%","17.7%","6.6","8.1%","86.8","31%","72%","40%",2014,NA,NA
"459","Houston Astros",".315","94",".298",".141","2.7%","23.8%","8.2%","23.6%","43.5%","24.3%","0.79","28.4%","53.8%","17.8%","-5.3","-2.0%","-35.8","27%","77%","36%",2014,NA,NA
"460","Kansas City Royals",".316","90",".302",".113","1.6%","16.3%","6.3%","23.7%","46.9%","20.4%","0.91","27.0%","56.9%","16.1%","-2.5","-3.3%","-29.7","30%","81%","41%",2014,NA,NA
"461","Los Angeles Angels of Anaheim",".331","113",".305",".147","2.5%","20.1%","7.8%","25.0%","45.7%","20.6%","0.86","29.2%","53.9%","16.9%","9.6","6.4%","113.4","32%","68%","46%",2014,NA,NA
"462","Los Angeles Dodgers",".336","112",".318",".140","2.2%","20.0%","8.3%","25.2%","47.4%","19.6%","0.95","22.9%","58.1%","19.0%","6.8","4.9%","86.2","30%","73%","41%",2014,NA,NA
"463","Miami Marlins",".315","92",".316",".125","2.0%","22.9%","8.1%","25.0%","48.5%","18.4%","1.00","24.1%","56.8%","19.1%","-1.8","-1.2%","0.8","29%","73%","40%",2014,NA,NA
"464","Milwaukee Brewers",".322","94",".293",".147","2.5%","19.7%","7.0%","24.8%","44.0%","21.0%","0.83","25.8%","53.6%","20.6%","-1.3","-1.2%","-2.1","29%","70%","44%",2014,NA,NA
"465","Minnesota Twins",".325","100",".309",".135","2.1%","21.3%","8.7%","23.9%","44.1%","23.2%","0.81","28.5%","53.2%","18.3%","0.6","-0.3%","38.9","31%","73%","44%",2014,NA,NA
"466","New York Mets",".309","93",".286",".126","2.0%","20.6%","8.4%","25.0%","41.6%","24.4%","0.74","27.1%","56.1%","16.8%","-2.3","-2.3%","-0.7","29%","75%","40%",2014,NA,NA
"467","New York Yankees",".314","93",".282",".135","2.4%","18.6%","7.4%","23.0%","43.9%","24.5%","0.80","28.7%","55.9%","15.5%","-3.1","-2.8%","-37.9","28%","81%","33%",2014,NA,NA
"468","Oakland Athletics",".322","101",".278",".137","2.3%","17.7%","9.4%","25.6%","38.8%","25.3%","0.65","30.1%","53.0%","16.9%","1.4","1.5%","65.5","31%","81%","42%",2014,NA,NA
"469","Philadelphia Phillies",".307","84",".292",".121","2.0%","21.1%","7.2%","25.1%","45.4%","20.8%","0.87","30.3%","53.1%","16.6%","-7.2","-2.3%","-35.6","28%","81%","36%",2014,NA,NA
"470","Pittsburgh Pirates",".333","107",".307",".145","2.5%","20.0%","8.4%","25.4%","43.9%","21.7%","0.82","26.9%","57.1%","16.0%","4.8","2.3%","44.1","28%","69%","40%",2014,NA,NA
"471","San Diego Padres",".292","84",".277",".115","1.9%","21.9%","7.9%","23.3%","47.6%","20.6%","0.96","28.7%","54.1%","17.2%","-9.4","-3.6%","-80.5","26%","73%","40%",2014,NA,NA
"472","Seattle Mariners",".307","94",".290",".132","2.3%","20.6%","6.6%","25.0%","44.8%","21.4%","0.84","28.3%","52.8%","18.9%","-5.7","-4.9%","-17.5","29%","70%","44%",2014,NA,NA
"473","San Francisco Giants",".316","99",".304",".133","2.2%","20.5%","7.0%","25.0%","44.0%","22.2%","0.81","26.7%","56.1%","17.2%","5.5","4.1%","39.2","30%","67%","41%",2014,NA,NA
"474","St. Louis Cardinals",".315","93",".300",".116","1.7%","18.6%","7.7%","26.7%","46.0%","19.7%","0.89","24.0%","57.8%","18.2%","-0.8","1.4%","-15.1","28%","64%","39%",2014,NA,NA
"475","Tampa Bay Rays",".312","96",".287",".120","1.9%","18.1%","8.5%","21.7%","45.2%","24.1%","0.86","28.8%","54.1%","17.1%","-8.6","-2.2%","-56.0","27%","70%","43%",2014,NA,NA
"476","Texas Rangers",".313","91",".305",".119","1.8%","19.3%","6.9%","23.8%","47.6%","19.7%","0.95","26.3%","57.6%","16.2%","-7.4","0.4%","-37.8","29%","64%","44%",2014,NA,NA
"477","Toronto Blue Jays",".335","109",".295",".155","2.9%","18.7%","8.1%","22.7%","44.5%","22.6%","0.83","28.3%","55.1%","16.7%","2.0","0.1%","58.5","30%","79%","38%",2014,NA,NA
"478","Washington Nationals",".326","95",".303",".140","2.5%","21.0%","8.3%","26.5%","44.5%","19.7%","0.85","27.1%","55.5%","17.3%","3.6","0.7%","32.6","29%","81%","43%",2014,NA,NA
"479","League Average",".319","96",".299",".135","2.3%","20.4%","7.6%","24.6%","44.7%","21.8%","0.84","27.5%","55.1%","17.4%","-2","-0%","1","29%","73%","40%",2014,NA,NA
"480","",".319","96",".299",".135","2.3%","20.4%","7.6%","24.6%","44.7%","21.8%","0.84","27.5%","55.1%","17.4%","-48.1","-6.9%","43.1","29%","73%","40%",2014,NA,NA
"481","Arizona Diamondbacks",".332","96",".316",".150","2.5%","20.9%","7.8%","29.1%","47.1%","16.1%","0.94","24.9%","54.5%","20.6%","-2.0","-1.1%","24.2","30%","75%","40%",2015,"89.0","39.2%"
"482","Atlanta Braves",".306","86",".297",".108","1.7%","18.4%","7.8%","25.7%","48.9%","17.6%","1.01","25.9%","53.5%","20.6%","-6.9","-2.6%","-84.4","26%","68%","40%",2015,"87.1","34.3%"
"483","Baltimore Orioles",".322","96",".291",".171","3.6%","22.2%","7.0%","26.5%","43.5%","21.2%","0.79","30.1%","52.1%","17.8%","-3.7","-3.9%","10.6","30%","64%","37%",2015,"89.3","40.6%"
"484","Boston Red Sox",".330","98",".305",".149","2.6%","18.4%","7.7%","23.8%","47.2%","20.9%","0.91","26.4%","54.8%","18.8%","-3.4","-3.2%","23.7","31%","72%","37%",2015,"89.0","38.2%"
"485","Chicago Cubs",".323","97",".305",".154","2.8%","24.5%","9.2%","26.5%","42.9%","22.2%","0.78","29.6%","52.0%","18.4%","5.0","1.6%","28.3","28%","72%","45%",2015,"88.4","38.2%"
"486","Chicago White Sox",".307","92",".296",".130","2.2%","20.3%","6.7%","25.8%","48.9%","17.2%","0.99","27.3%","52.3%","20.3%","-8.4","-2.9%","-69.5","28%","62%","37%",2015,"88.1","37.1%"
"487","Cincinnati Reds",".319","91",".290",".146","2.7%","20.3%","8.0%","29.1%","43.0%","19.5%","0.79","26.3%","53.7%","20.0%","-11.1","-2.4%","-41.9","27%","78%","33%",2015,"87.0","32.0%"
"488","Cleveland Indians",".322","91",".299",".144","2.3%","18.9%","8.7%","26.4%","44.6%","20.1%","0.84","31.1%","51.5%","17.5%","-6.6","-3.1%","-46.4","29%","75%","38%",2015,"88.6","39.6%"
"489","Colorado Rockies",".332","86",".313",".167","3.1%","21.1%","6.4%","29.4%","44.2%","17.3%","0.82","25.4%","55.3%","19.3%","2.3","0.0%","18.5","32%","69%","46%",2015,"88.7","39.5%"
"490","Detroit Tigers",".328","105",".322",".150","2.5%","20.4%","7.4%","26.6%","42.8%","23.0%","0.77","24.6%","54.0%","21.4%","-1.2","-1.3%","-13.3","28%","62%","34%",2015,"88.7","39.4%"
"491","Houston Astros",".332","108",".292",".187","3.8%","22.9%","8.0%","25.6%","41.5%","23.6%","0.73","30.7%","50.9%","18.4%","1.2","1.4%","43.4","29%","72%","43%",2015,"89.2","40.3%"
"492","Kansas City Royals",".326","97",".301",".144","2.3%","15.9%","6.3%","25.5%","44.7%","21.3%","0.83","27.3%","53.6%","19.2%","4.5","1.8%","13.6","32%","75%","44%",2015,"88.4","38.0%"
"493","Los Angeles Angels of Anaheim",".311","97",".280",".150","2.9%","19.2%","7.3%","27.1%","45.1%","19.3%","0.85","27.6%","52.4%","20.1%","-0.6","-0.3%","-13.1","28%","60%","44%",2015,"88.2","35.1%"
"494","Los Angeles Dodgers",".329","106",".292",".163","3.1%","20.7%","9.2%","28.4%","43.4%","19.5%","0.80","27.8%","54.0%","18.2%","2.9","2.2%","17.3","27%","63%","37%",2015,"88.9","40.5%"
"495","Miami Marlins",".311","90",".307",".124","2.0%","19.2%","6.3%","25.1%","51.3%","15.4%","1.13","23.4%","54.5%","22.1%","-3.7","-1.6%","-39.1","28%","71%","39%",2015,"88.6","37.0%"
"496","Milwaukee Brewers",".314","88",".303",".142","2.4%","21.6%","6.8%","27.1%","47.2%","17.8%","0.93","24.0%","52.6%","23.4%","-6.8","-1.7%","-17.9","30%","74%","43%",2015,"88.4","37.9%"
"497","Minnesota Twins",".313","92",".292",".152","2.6%","21.0%","7.3%","24.2%","44.4%","22.4%","0.83","27.7%","54.0%","18.3%","-1.6","-2.8%","-7.0","32%","65%","37%",2015,"88.5","37.2%"
"498","New York Mets",".320","97",".287",".156","2.9%","21.0%","7.9%","27.4%","42.3%","21.8%","0.75","27.8%","52.7%","19.5%","0.2","-0.2%","22.4","29%","67%","40%",2015,"89.2","39.2%"
"499","New York Yankees",".329","103",".283",".170","3.4%","19.6%","8.8%","25.0%","42.0%","23.4%","0.74","34.4%","50.4%","15.1%","-1.7","-1.0%","58.1","30%","72%","34%",2015,"88.6","38.6%"
"500","Oakland Athletics",".316","96",".288",".144","2.4%","18.1%","7.7%","26.7%","45.6%","19.1%","0.85","29.1%","51.2%","19.7%","-5.2","-1.4%","1.7","31%","73%","36%",2015,"87.7","34.1%"
"501","Philadelphia Phillies",".311","90",".299",".133","2.2%","21.1%","6.4%","28.0%","45.1%","18.0%","0.87","28.7%","54.0%","17.2%","-6.3","-2.1%","-39.5","29%","73%","38%",2015,"87.6","34.3%"
"502","Pittsburgh Pirates",".323","96",".314",".136","2.2%","21.0%","7.3%","26.5%","47.2%","18.7%","0.94","26.3%","55.1%","18.6%","1.7","0.5%","19.1","29%","69%","41%",2015,"88.7","39.9%"
"503","San Diego Padres",".310","91",".292",".142","2.5%","22.1%","7.1%","25.9%","44.5%","20.3%","0.84","28.4%","53.1%","18.5%","-3.7","-1.6%","-11.0","30%","74%","42%",2015,"88.1","37.2%"
"504","Seattle Mariners",".320","103",".292",".162","3.2%","21.8%","7.8%","26.9%","44.3%","20.9%","0.82","29.5%","50.5%","19.9%","-4.4","-2.7%","-34.1","26%","61%","34%",2015,"90.2","43.9%"
"505","San Francisco Giants",".328","100",".313",".139","2.2%","18.8%","7.4%","27.7%","47.8%","18.1%","0.95","25.1%","54.0%","20.9%","-0.5","-3.1%","27.7","30%","72%","41%",2015,"87.9","36.8%"
"506","St. Louis Cardinals",".321","93",".303",".142","2.2%","20.6%","8.2%","26.0%","46.4%","19.7%","0.89","27.6%","52.6%","19.8%","-1.4","1.2%","-25.0","27%","64%","39%",2015,"88.4","38.8%"
"507","Tampa Bay Rays",".317","99",".300",".154","2.8%","21.6%","7.2%","25.2%","43.2%","22.4%","0.78","29.8%","51.4%","18.8%","-6.3","-6.6%","-47.0","27%","66%","36%",2015,"88.4","36.4%"
"508","Texas Rangers",".330","98",".300",".156","2.8%","19.9%","8.1%","26.4%","45.4%","18.4%","0.87","30.1%","52.9%","17.1%","3.7","4.4%","45.5","31%","72%","47%",2015,"89.0","40.5%"
"509","Toronto Blue Jays",".351","115",".298",".188","3.7%","18.5%","9.2%","24.9%","44.7%","20.5%","0.84","28.8%","53.1%","18.1%","12.1","8.2%","187.5","34%","79%","38%",2015,"89.3","42.0%"
"510","Washington Nationals",".326","96",".300",".151","2.9%","22.0%","8.8%","27.2%","47.1%","17.2%","0.93","26.1%","53.0%","20.9%","0.4","-0.6%","34.2","29%","71%","38%",2015,"89.7","43.3%"
"511","League Average",".322","96",".299",".150","2.7%","20.4%","7.7%","26.5%","45.2%","19.7%","0.86","27.7%","53.0%","19.3%","-2","-1%","3","29%","70%","39%",2015,"88.6","38.3%"
"512","",".322","96",".299",".150","2.7%","20.4%","7.7%","26.5%","45.2%","19.7%","0.86","27.7%","53.0%","19.3%","-51.6","-24.7%","86.4","29%","70%","39%",2015,"88.6","38.3%"
"513","Arizona Diamondbacks",".334","91",".315",".171","3.0%","22.8%","7.4%","26.2%","48.4%","18.6%","0.97","25.1%","52.6%","22.3%","-0.4","-1.0%","2.4","31%","82%","43%",2016,"89.6","41.5%"
"514","Atlanta Braves",".316","88",".305",".130","2.0%","20.0%","8.1%","27.1%","46.7%","18.0%","0.92","25.7%","52.8%","21.5%","-9.6","-2.0%","-66.1","28%","69%","38%",2016,"88.6","36.4%"
"515","Baltimore Orioles",".331","101",".291",".188","4.2%","21.7%","7.7%","23.8%","42.7%","23.8%","0.76","30.4%","50.5%","19.2%","1.6","-0.5%","14.3","29%","59%","39%",2016,"90.0","42.6%"
"516","Boston Red Sox",".354","113",".320",".179","3.3%","18.4%","8.8%","24.7%","44.8%","22.0%","0.82","31.3%","49.5%","19.2%","8.6","8.6%","136.7","33%","78%","43%",2016,"89.9","41.0%"
"517","Chicago Cubs",".342","104",".302",".173","3.1%","21.1%","10.4%","26.3%","42.0%","22.2%","0.75","33.1%","49.5%","17.4%","4.3","2.5%","97.5","31%","66%","43%",2016,"88.5","38.5%"
"518","Chicago White Sox",".320","99",".304",".153","2.7%","21.0%","7.4%","25.5%","45.7%","20.3%","0.86","29.5%","49.0%","21.5%","-1.5","-2.4%","-33.9","29%","68%","41%",2016,"88.9","37.8%"
"519","Cincinnati Reds",".323","89",".303",".152","2.7%","21.1%","7.4%","28.6%","44.0%","19.2%","0.82","27.4%","53.5%","19.1%","-1.0","0.0%","-6.2","31%","73%","37%",2016,"86.7","31.5%"
"520","Cleveland Indians",".337","97",".304",".168","3.0%","20.2%","8.6%","27.7%","42.9%","20.7%","0.77","31.4%","50.6%","18.1%","2.3","2.7%","25.7","32%","81%","45%",2016,"89.0","39.0%"
"521","Colorado Rockies",".347","95",".326",".182","3.3%","21.3%","7.9%","29.3%","43.6%","18.3%","0.81","27.1%","52.7%","20.2%","5.4","1.0%","81.9","34%","63%","44%",2016,"88.7","40.3%"
"522","Detroit Tigers",".335","106",".312",".171","3.4%","21.3%","8.1%","25.9%","42.1%","24.6%","0.74","26.7%","51.5%","21.8%","2.0","0.7%","29.0","29%","67%","34%",2016,"89.4","40.8%"
"523","Houston Astros",".325","105",".298",".170","3.2%","23.4%","8.9%","24.8%","43.9%","22.7%","0.81","31.3%","51.9%","16.8%","-2.9","-3.3%","7.1","29%","70%","43%",2016,"88.9","40.7%"
"524","Kansas City Royals",".316","88",".309",".139","2.4%","20.2%","6.3%","23.6%","46.5%","20.9%","0.90","26.6%","53.1%","20.3%","-4.8","-2.6%","-60.0","30%","78%","42%",2016,"88.8","39.0%"
"525","Los Angeles Angels",".322","101",".289",".145","2.6%","16.4%","7.8%","25.0%","45.7%","21.6%","0.86","27.9%","51.0%","21.1%","0.1","-0.7%","13.2","31%","68%","39%",2016,"88.7","38.3%"
