"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"109","New York Mets","1413.1","573","161","754","4.80","4.84","-0.28","0.00","97.9","5.01","26","4.0","1.08","-0.8","15.4","156",".507",".504","$48,316,666",2003,NA
"110","New York Yankees","1462.0","530","163","716","4.41","4.91","-0.27","0.03","97.0","5.06","108","11.4","1.20","-0.9","25.7","271",".522",".505","$68,800,000",2003,NA
"111","Oakland Athletics","1441.2","526","162","643","4.01","4.89","0.02","0.02","98.4","4.81","128","13.8","1.14","-0.6","28.1","290",".526",".507","$19,602,667",2003,NA
"112","Philadelphia Phillies","1443.2","599","162","697","4.35","4.67","0.12","0.00","92.8","4.23","-25","-2.3","1.15","-1.4","8.8","108",".496",".500","$30,713,333",2003,NA
"113","Pittsburgh Pirates","1444.1","619","162","801","4.99","4.76","-0.06","-0.01","101.7","4.89","-23","-1.6","1.22","-1.7","9.2","109",".497",".500","$15,121,167",2003,NA
"114","San Diego Padres","1431.1","635","162","831","5.23","4.59","-0.01","-0.01","93.2","4.28","-157","-14.0","1.19","-1.5","-3.2","-26",".478",".496","$19,208,000",2003,NA
"115","Seattle Mariners","1441.0","528","162","637","3.98","4.83","0.22","0.02","95.3","4.41","71","7.3","1.03","-1.1","21.2","233",".514",".504","$32,550,833",2003,NA
"116","San Francisco Giants","1437.1","622","161","638","3.99","4.54","0.21","0.00","99.3","4.30","42","5.2","1.28","-1.2","16.4","174",".508",".502","$22,815,167",2003,NA
"117","St. Louis Cardinals","1463.2","622","162","796","4.89","4.66","-0.07","0.01","96.7","4.57","-59","-5.4","1.17","-1.4","5.9","75",".491",".498","$33,640,000",2003,NA
"118","Tampa Bay Devil Rays","1436.2","534","162","852","5.34","5.04","0.14","-0.02","97.1","4.74","-94","-7.7","1.27","-1.5","5.8","67",".486",".499","$3,800,000",2003,NA
"119","Texas Rangers","1433.1","656","162","969","6.08","4.94","0.34","-0.05","110.4","5.02","-167","-15.0","1.07","-0.1","0.0","-7",".477",".498","$31,202,500",2003,NA
"120","Toronto Blue Jays","1435.0","605","162","826","5.18","4.93","-0.25","0.01","103.4","5.37","31","4.0","1.08","-1.3","17.6","192",".507",".502","$17,902,000",2003,NA
