"...1","Batting Against...2","Batting Against...3","Batting Against...4","Batting Against...5","Batting Against...6","Pitching Ratios...7","Pitching Ratios...8","Pitching Ratios...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Win Probability...14","Win Probability...15","Win Probability...16","Year","Batted Ball...14","Batted Ball...15","Win Probability...17","Win Probability...18"
"Pittsburgh Pirates",".238",".309",".341",".650",".289","1.6%","20.5%","8.4%","21.9%","52.0%","19.1%","1.14","13.2","8.4%","59.1",2013,NA,NA,NA,NA
"San Diego Padres",".255",".322",".403",".725",".296","2.5%","19.0%","8.5%","23.4%","45.0%","23.1%","0.86","-4.7","-3.4%","-81.7",2013,NA,NA,NA,NA
"Seattle Mariners",".259",".319",".417",".736",".305","2.8%","20.7%","7.6%","23.7%","45.2%","23.2%","0.85","-4.4","-0.8%","-87.6",2013,NA,NA,NA,NA
"San Francisco Giants",".251",".320",".390",".710",".299","2.4%","20.4%","8.5%","25.8%","41.5%","23.0%","0.74","-8.1","-5.1%","-73.9",2013,NA,NA,NA,NA
"St. Louis Cardinals",".249",".311",".368",".680",".301","1.8%","20.5%","7.4%","23.2%","47.7%","20.8%","0.96","7.4","6.5%","56.6",2013,NA,NA,NA,NA
"Tampa Bay Rays",".240",".305",".381",".686",".286","2.5%","21.5%","7.9%","22.2%","44.8%","24.3%","0.83","5.2","8.1%","50.9",2013,NA,NA,NA,NA
"Texas Rangers",".248",".313",".387",".701",".296","2.6%","21.3%","8.1%","25.0%","42.9%","23.4%","0.77","9.3","8.0%","74.1",2013,NA,NA,NA,NA
"Toronto Blue Jays",".259",".324",".426",".750",".295","3.1%","19.3%","8.0%","21.6%","44.5%","25.2%","0.82","-5.7","-1.9%","-54.4",2013,NA,NA,NA,NA
"Washington Nationals",".249",".305",".379",".683",".296","2.4%","20.5%","6.7%","23.9%","43.9%","21.8%","0.82","4.4","0.8%","24.8",2013,NA,NA,NA,NA
"League Average",".253",".318",".396",".714",".297","2.5%","19.9%","7.9%","23.1%","44.2%","23.7%","0.82","","","",2013,NA,NA,NA,NA
"",".253",".318",".396",".714",".297","2.5%","19.9%","7.9%","23.1%","44.2%","23.7%","0.82","","","",2013,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2013,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2014,NA,NA,NA,NA
"Arizona Diamondbacks",".265",".326",".414",".740",".316","2.5%","20.7%","7.6%","26.7%","45.3%","19.8%","0.86","-9.9","-2.7%","-100.1",2014,NA,NA,NA,NA
"Atlanta Braves",".251",".312",".370",".682",".306","2.0%","21.4%","7.8%","25.3%","42.1%","22.8%","0.77","6.6","4.7%","38.1",2014,NA,NA,NA,NA
"Baltimore Orioles",".244",".308",".382",".690",".282","2.5%","19.2%","7.7%","23.1%","43.9%","23.8%","0.81","12.3","9.2%","94.6",2014,NA,NA,NA,NA
"Boston Red Sox",".260",".321",".409",".730",".303","2.5%","19.5%","7.7%","23.3%","43.5%","23.7%","0.80","-1.3","0.3%","-26.0",2014,NA,NA,NA,NA
"Chicago Cubs",".252",".318",".376",".694",".308","1.9%","21.1%","8.1%","26.1%","43.9%","20.8%","0.82","-0.6","-0.8%","-55.1",2014,NA,NA,NA,NA
"Chicago White Sox",".265",".337",".401",".738",".309","2.2%","18.4%","8.9%","23.3%","46.2%","22.4%","0.89","-11.5","-5.4%","-101.7",2014,NA,NA,NA,NA
"Cincinnati Reds",".237",".309",".383",".691",".281","2.7%","21.3%","8.4%","26.9%","44.6%","18.6%","0.84","4.1","0.9%","25.5",2014,NA,NA,NA,NA
"Cleveland Indians",".250",".312",".385",".697",".312","2.2%","23.4%","7.5%","24.1%","46.8%","21.1%","0.91","5.1","0.2%","36.0",2014,NA,NA,NA,NA
"Colorado Rockies",".276",".342",".443",".784",".311","2.8%","17.2%","8.5%","26.8%","47.3%","18.6%","0.94","-17.3","-5.8%","-136.6",2014,NA,NA,NA,NA
"Detroit Tigers",".263",".321",".401",".723",".314","2.1%","20.1%","7.5%","22.4%","44.6%","24.3%","0.83","2.4","4.0%","-30.9",2014,NA,NA,NA,NA
"Houston Astros",".260",".323",".396",".719",".302","2.3%","18.5%","7.9%","23.2%","46.7%","21.8%","0.91","-5.7","-1.0%","-61.1",2014,NA,NA,NA,NA
"Kansas City Royals",".250",".310",".377",".687",".294","2.1%","19.1%","7.2%","23.7%","43.1%","24.4%","0.78","10.6","8.7%","59.8",2014,NA,NA,NA,NA
"Los Angeles Angels of Anaheim",".236",".305",".351",".656",".287","2.0%","21.7%","8.2%","23.6%","42.0%","24.7%","0.75","7.4","4.9%","36.3",2014,NA,NA,NA,NA
"Los Angeles Dodgers",".242",".300",".376",".676",".296","2.3%","22.6%","7.1%","24.4%","47.5%","19.6%","0.94","6.1","5.6%","20.1",2014,NA,NA,NA,NA
"Miami Marlins",".264",".323",".390",".713",".315","1.8%","19.1%","7.4%","25.8%","46.5%","19.7%","0.92","-2.2","-1.8%","-30.3",2014,NA,NA,NA,NA
"Milwaukee Brewers",".250",".307",".393",".700",".293","2.7%","20.4%","7.1%","24.4%","45.4%","21.4%","0.87","2.3","0.0%","-1.8",2014,NA,NA,NA,NA
"Minnesota Twins",".280",".330",".428",".758",".317","2.4%","16.6%","6.6%","25.0%","42.2%","23.3%","0.75","-11.6","-2.5%","-104.8",2014,NA,NA,NA,NA
"New York Mets",".248",".315",".382",".698",".299","2.3%","21.1%","8.3%","24.3%","45.3%","22.3%","0.87","0.3","-1.2%","7.3",2014,NA,NA,NA,NA
"New York Yankees",".250",".305",".395",".700",".301","2.7%","22.4%","6.5%","24.1%","44.0%","23.8%","0.81","6.0","2.4%","7.0",2014,NA,NA,NA,NA
"Oakland Athletics",".233",".290",".356",".646",".274","2.5%","20.8%","6.8%","24.4%","45.5%","20.9%","0.86","5.6","5.3%","96.6",2014,NA,NA,NA,NA
"Philadelphia Phillies",".252",".321",".387",".708",".300","2.1%","20.0%","8.3%","24.8%","46.1%","20.4%","0.90","-0.8","-1.1%","-37.9",2014,NA,NA,NA,NA
"Pittsburgh Pirates",".247",".318",".371",".689",".295","2.1%","20.0%","8.1%","23.4%","49.8%","18.2%","1.06","2.2","0.8%","10.4",2014,NA,NA,NA,NA
"San Diego Padres",".241",".304",".362",".666",".294","2.0%","21.4%","7.7%","25.7%","44.8%","21.2%","0.86","5.4","0.6%","36.4",2014,NA,NA,NA,NA
"Seattle Mariners",".230",".295",".356",".652",".277","2.3%","22.1%","7.8%","24.2%","45.8%","21.1%","0.87","11.7","7.1%","96.8",2014,NA,NA,NA,NA
"San Francisco Giants",".241",".297",".382",".679",".285","2.2%","20.4%","6.5%","25.1%","45.7%","20.8%","0.87","1.5","0.7%","13.7",2014,NA,NA,NA,NA
"St. Louis Cardinals",".242",".308",".366",".674",".289","2.0%","20.1%","7.7%","24.7%","45.0%","19.9%","0.87","9.8","8.7%","38.9",2014,NA,NA,NA,NA
"Tampa Bay Rays",".234",".300",".362",".662",".288","2.4%","23.4%","7.9%","23.1%","40.8%","26.1%","0.71","4.5","-0.3%","41.4",2014,NA,NA,NA,NA
"Texas Rangers",".272",".336",".428",".764",".311","2.6%","17.9%","8.2%","26.4%","39.7%","23.9%","0.67","-6.3","-2.7%","-103.9",2014,NA,NA,NA,NA
"Toronto Blue Jays",".253",".318",".407",".724",".295","2.5%","19.5%","8.0%","23.3%","43.1%","24.5%","0.78","0.0","-0.7%","-18.4",2014,NA,NA,NA,NA
"Washington Nationals",".244",".294",".358",".651",".298","1.8%","21.4%","5.9%","26.2%","44.1%","20.2%","0.83","11.4","7.2%","106.5",2014,NA,NA,NA,NA
"League Average",".251",".314",".386",".700",".299","2.3%","20.4%","7.6%","24.6%","44.7%","21.8%","0.84","","","",2014,NA,NA,NA,NA
"",".251",".314",".386",".700",".299","2.3%","20.4%","7.6%","24.6%","44.7%","21.8%","0.84","","","",2014,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2014,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2015,"FB%","GB/FB","cWPA","RE24"
"Arizona Diamondbacks",".258",".322",".423",".744",".297","2.9%","19.4%","8.0%","89.5","41.3%","28.2%","45.3%",NA,NA,"0.0",2015,"18.4%","0.87","-1.5%","-14.6"
"Atlanta Braves",".268",".339",".426",".765",".309","2.8%","18.7%","8.9%","89.0","39.7%","26.6%","42.9%",NA,NA,"-7.1",2015,"21.8%","0.78","-1.2%","-110.7"
"Baltimore Orioles",".257",".321",".418",".739",".299","2.9%","20.3%","7.9%","89.1","39.0%","24.7%","45.6%",NA,NA,"3.7",2015,"20.5%","0.86","0.8%","7.0"
"Boston Red Sox",".264",".327",".424",".751",".307","2.9%","19.6%","7.7%","88.3","37.4%","25.2%","44.3%",NA,NA,"0.4",2015,"22.3%","0.82","-0.3%","-28.7"
"Chicago Cubs",".233",".290",".372",".662",".290","2.2%","23.9%","6.8%","88.3","36.3%","26.9%","46.4%",NA,NA,"11.0",2015,"18.6%","0.90","4.6%","62.4"
"Chicago White Sox",".260",".322",".410",".733",".314","2.6%","22.0%","7.7%","87.9","37.1%","26.8%","44.8%",NA,NA,"3.4",2015,"19.7%","0.84","-0.1%","-9.0"
"Cincinnati Reds",".258",".328",".420",".748",".301","2.8%","20.0%","8.7%","88.3","38.3%","29.8%","43.8%",NA,NA,"-5.9",2015,"17.9%","0.82","-0.2%","-84.2"
"Cleveland Indians",".237",".297",".386",".683",".290","2.7%","23.8%","7.2%","88.9","38.5%","26.4%","44.7%",NA,NA,"7.1",2015,"21.2%","0.83","0.3%","76.8"
"Colorado Rockies",".283",".353",".461",".814",".323","2.9%","17.6%","9.2%","88.8","40.2%","28.2%","47.4%",NA,NA,"-15.1",2015,"16.8%","0.94","-3.4%","-130.0"
"Detroit Tigers",".268",".330",".444",".774",".301","3.1%","17.8%","7.9%","89.0","39.1%","24.7%","43.0%",NA,NA,"-5.3",2015,"22.1%","0.78","-0.5%","-105.0"
"Houston Astros",".241",".299",".382",".681",".287","2.5%","21.5%","7.1%","87.5","34.3%","25.1%","47.2%",NA,NA,"3.8",2015,"19.9%","0.92","1.1%","68.4"
"Kansas City Royals",".249",".314",".396",".710",".288","2.5%","19.0%","8.0%","88.5","38.3%","25.3%","42.7%",NA,NA,"9.3",2015,"23.1%","0.77","7.0%","76.3"
"Los Angeles Angels of Anaheim",".248",".313",".396",".708",".288","2.7%","20.0%","7.6%","88.4","37.1%","26.6%","41.5%",NA,NA,"4.6",2015,"21.6%","0.73","1.3%","2.3"
"Los Angeles Dodgers",".242",".297",".372",".669",".299","2.4%","23.5%","6.7%","87.5","34.5%","25.6%","49.8%",NA,NA,"7.8",2015,"16.6%","1.04","6.9%","57.7"
"Miami Marlins",".255",".322",".396",".718",".297","2.3%","19.0%","8.4%","88.8","38.7%","27.2%","44.4%",NA,NA,"-6.3",2015,"19.8%","0.83","-2.1%","-29.9"
"Milwaukee Brewers",".261",".329",".422",".750",".307","2.9%","20.5%","8.4%","88.1","37.8%","28.8%","46.0%",NA,NA,"-6.2",2015,"17.3%","0.89","-1.5%","-70.3"
"Minnesota Twins",".269",".321",".418",".739",".303","2.7%","17.0%","6.7%","89.0","40.6%","25.8%","44.1%",NA,NA,"3.6",2015,"21.3%","0.82","1.6%","0.7"
"New York Mets",".243",".296",".377",".672",".292","2.5%","22.1%","6.3%","87.9","35.1%","24.7%","45.8%",NA,NA,"8.8",2015,"20.9%","0.89","7.4%","53.3"
"New York Yankees",".253",".316",".406",".722",".303","2.9%","22.1%","7.7%","88.6","39.1%","25.0%","47.2%",NA,NA,"7.7",2015,"20.0%","0.92","6.6%","13.2"
"Oakland Athletics",".254",".316",".400",".716",".291","2.8%","19.2%","7.7%","88.8","39.3%","27.1%","44.7%",NA,NA,"-7.8",2015,"18.6%","0.83","-1.9%","-45.0"
"Philadelphia Phillies",".280",".341",".445",".786",".319","3.0%","18.2%","7.7%","89.2","39.9%","28.4%","44.0%",NA,NA,"-11.7",2015,"19.1%","0.82","-1.4%","-154.6"
"Pittsburgh Pirates",".248",".311",".361",".672",".305","1.8%","21.5%","7.3%","88.1","38.2%","25.8%","50.3%",NA,NA,"15.3",2015,"17.0%","1.06","8.2%","91.5"
"San Diego Padres",".252",".321",".414",".735",".307","2.8%","22.9%","8.5%","88.7","38.8%","27.2%","46.8%",NA,NA,"-3.3",2015,"18.2%","0.91","-1.1%","-76.6"
"Seattle Mariners",".256",".322",".412",".734",".300","2.9%","20.6%","7.9%","88.9","39.1%","25.6%","46.2%",NA,NA,"-0.6",2015,"19.8%","0.89","-0.4%","-39.1"
"San Francisco Giants",".246",".305",".395",".700",".285","2.6%","19.4%","7.2%","88.8","38.9%","26.9%","45.8%",NA,NA,"3.5",2015,"19.1%","0.87","2.7%","42.4"
"St. Louis Cardinals",".246",".310",".366",".676",".302","2.0%","21.7%","7.8%","88.0","37.1%","24.6%","47.3%",NA,NA,"20.7",2015,"19.1%","0.95","12.6%","157.0"
"Tampa Bay Rays",".240",".304",".385",".689",".286","2.9%","22.3%","7.9%","89.4","40.7%","24.8%","42.0%",NA,NA,"5.3",2015,"24.0%","0.74","4.3%","47.4"
"Texas Rangers",".262",".328",".419",".747",".296","2.8%","17.6%","8.2%","88.9","39.0%","29.0%","44.6%",NA,NA,"3.4",2015,"18.8%","0.82","5.5%","-20.1"
"Toronto Blue Jays",".248",".304",".403",".707",".280","2.9%","18.7%","6.6%","88.4","37.4%","25.8%","44.1%",NA,NA,"0.0",2015,"21.0%","0.81","3.3%","38.8"
"Washington Nationals",".250",".301",".384",".685",".304","2.4%","22.5%","6.1%","87.8","37.1%","28.2%","44.5%",NA,NA,"1.5",2015,"17.7%","0.84","-0.2%","35.8"
"League Average",".254",".317",".405",".721",".299","2.7%","20.4%","7.7%","88.6","38.3%","26.5%","45.2%",NA,NA,"",2015,"19.8%","0.86","",""
"",".254",".317",".405",".721",".299","2.7%","20.4%","7.7%","88.6","38.3%","26.5%","45.2%",NA,NA,"",2015,"19.8%","0.86","",""
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2015,"FB%","GB/FB","cWPA","RE24"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2016,"FB%","GB/FB","cWPA","RE24"
"Arizona Diamondbacks",".275",".348",".454",".801",".323","3.1%","20.5%","9.4%","89.6","42.5%","28.0%","45.7%",NA,NA,"-11.8",2016,"18.6%","0.87","-2.0%","-142.3"
"Atlanta Braves",".256",".328",".416",".744",".296","2.8%","19.6%","8.8%","89.6","41.8%","25.4%","44.3%",NA,NA,"-2.9",2016,"21.7%","0.83","-1.2%","-71.4"
"Baltimore Orioles",".258",".328",".421",".750",".301","3.0%","20.4%","8.9%","89.1","40.0%","25.3%","45.2%",NA,NA,"6.5",2016,"20.8%","0.84","6.7%","17.3"
"Boston Red Sox",".246",".314",".397",".711",".295","2.9%","22.4%","8.1%","88.5","37.8%","23.0%","41.4%",NA,NA,"3.4",2016,"25.8%","0.73","2.9%","54.7"
"Chicago Cubs",".212",".285",".348",".633",".257","2.8%","24.3%","8.3%","88.8","38.7%","25.5%","46.6%",NA,NA,"18.2",2016,"19.8%","0.91","7.4%","169.6"
"Chicago White Sox",".257",".326",".419",".746",".300","3.0%","20.5%","8.4%","88.9","38.1%","26.2%","42.8%",NA,NA,"-1.2",2016,"22.3%","0.77","-0.2%","3.7"
"Cincinnati Reds",".263",".345",".456",".801",".294","4.1%","19.6%","10.0%","88.6","39.1%","28.2%","41.5%",NA,NA,"-12.0",2016,"21.4%","0.73","-2.7%","-138.1"
"Cleveland Indians",".243",".304",".407",".711",".291","3.1%","23.2%","7.6%","88.9","38.7%","26.9%","46.8%",NA,NA,"11.3",2016,"19.6%","0.90","8.3%","86.3"
"Colorado Rockies",".274",".345",".446",".790",".321","2.9%","19.5%","8.7%","88.5","40.4%","26.6%","48.7%",NA,NA,"-11.4",2016,"17.7%","0.99","-3.6%","-96.4"
"Detroit Tigers",".260",".320",".421",".741",".302","3.0%","20.4%","7.6%","88.7","39.1%","23.1%","44.0%",NA,NA,"3.0",2016,"22.2%","0.81","0.3%","1.4"
"Houston Astros",".256",".314",".424",".737",".308","2.9%","22.6%","7.3%","88.4","38.1%","25.1%","45.4%",NA,NA,"5.8",2016,"22.2%","0.85","2.0%","20.5"
"Kansas City Royals",".259",".327",".423",".750",".301","3.3%","20.8%","8.4%","89.4","40.7%","23.2%","43.9%",NA,NA,"4.8",2016,"24.3%","0.81","2.0%","25.6"
"Los Angeles Angels",".269",".334",".440",".774",".303","3.4%","18.6%","8.1%","89.2","39.8%","25.7%","41.1%",NA,NA,"-7.0",2016,"23.6%","0.71","-2.0%","-29.0"
"Los Angeles Dodgers",".233",".298",".375",".674",".291","2.7%","25.1%","7.7%","87.6","35.2%","26.3%","42.3%",NA,NA,"8.5",2016,"21.9%","0.76","6.2%","72.9"
"Miami Marlins",".251",".329",".394",".724",".307","2.5%","22.4%","9.7%","88.7","38.2%","27.8%","43.0%",NA,NA,"0.0",2016,"20.5%","0.78","0.0%","3.2"
"Milwaukee Brewers",".263",".333",".426",".760",".303","2.9%","19.0%","8.6%","88.3","38.2%","26.3%","45.9%",NA,NA,"1.2",2016,"19.4%","0.88","-0.8%","-18.3"
"Minnesota Twins",".283",".340",".466",".806",".320","3.5%","18.9%","7.6%","89.9","42.5%","26.1%","42.8%",NA,NA,"-13.3",2016,"23.1%","0.77","-1.6%","-156.3"
"New York Mets",".254",".311",".395",".706",".312","2.5%","23.0%","7.2%","88.7","38.5%","26.7%","43.8%",NA,NA,"11.8",2016,"20.7%","0.82","7.4%","85.2"
"New York Yankees",".248",".310",".424",".734",".294","3.6%","23.1%","7.4%","88.8","39.8%","23.7%","46.7%",NA,NA,"6.3",2016,"21.4%","0.90","2.3%","35.5"
"Oakland Athletics",".263",".322",".422",".744",".301","3.0%","19.3%","7.6%","89.3","40.7%","25.7%","46.2%",NA,NA,"-6.3",2016,"19.7%","0.88","-1.1%","-53.0"
"Philadelphia Phillies",".265",".325",".448",".773",".307","3.5%","21.1%","7.6%","88.9","38.7%","28.5%","40.9%",NA,NA,"-2.3",2016,"21.1%","0.72","1.4%","-90.2"
"Pittsburgh Pirates",".267",".336",".436",".772",".311","2.9%","19.6%","8.5%","88.3","37.5%","25.7%","46.3%",NA,NA,"-2.8",2016,"19.2%","0.91","-1.1%","-42.4"
"San Diego Padres",".258",".330",".422",".753",".298","2.9%","19.6%","9.1%","89.4","41.3%","25.0%","46.3%",NA,NA,"-4.5",2016,"20.5%","0.89","0.5%","-73.3"
"Seattle Mariners",".253",".314",".425",".739",".294","3.5%","21.4%","7.5%","89.0","38.7%","25.7%","43.3%",NA,NA,"2.9",2016,"22.0%","0.78","-0.8%","11.7"
"San Francisco Giants",".243",".303",".392",".695",".290","2.6%","21.6%","7.3%","88.8","38.0%","25.6%","44.7%",NA,NA,"9.3",2016,"20.5%","0.84","8.9%","79.0"
"St. Louis Cardinals",".258",".320",".402",".722",".307","2.6%","20.9%","7.7%","87.8","36.0%","25.4%","49.0%",NA,NA,"-1.5",2016,"18.3%","1.00","-1.1%","-4.0"
"Tampa Bay Rays",".255",".318",".416",".734",".300","3.5%","22.3%","8.1%","89.7","40.4%","23.7%","41.2%",NA,NA,"-4.0",2016,"25.4%","0.71","-0.8%","-2.4"
"Texas Rangers",".260",".329",".424",".753",".293","3.3%","18.7%","8.6%","88.7","39.0%","25.4%","45.3%",NA,NA,"4.6",2016,"21.7%","0.85","5.1%","-6.9"
"Toronto Blue Jays",".242",".305",".398",".703",".283","3.0%","21.5%","7.5%","89.5","41.4%","23.6%","46.5%",NA,NA,"9.5",2016,"20.9%","0.89","7.7%","79.2"
"Washington Nationals",".234",".300",".376",".677",".292","2.6%","24.5%","7.8%","88.3","36.7%","26.5%","43.1%",NA,NA,"9.7",2016,"20.5%","0.79","6.6%","117.2"
"League Average",".255",".322",".417",".739",".300","3.0%","21.1%","8.2%","88.9","39.2%","25.7%","44.5%",NA,NA,"",2016,"21.2%","0.83","",""
"",".255",".322",".417",".739",".300","3.0%","21.1%","8.2%","88.9","39.2%","25.7%","44.5%",NA,NA,"",2016,"21.2%","0.83","",""
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2016,"FB%","GB/FB","cWPA","RE24"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2017,"FB%","GB/FB","cWPA","RE24"
"Arizona Diamondbacks",".240",".309",".398",".707",".297","2.8%","24.4%","8.5%","88.2","39.6%","23.4%","47.9%",NA,NA,"11.8",2017,"20.9%","0.95","6.7%","113.1"
"Atlanta Braves",".263",".339",".438",".777",".306","3.0%","20.0%","9.3%","87.5","36.9%","25.4%","43.8%",NA,NA,"-7.1",2017,"22.6%","0.81","-2.6%","-84.7"
"Baltimore Orioles",".269",".342",".458",".799",".303","3.9%","19.6%","9.2%","88.3","40.0%","25.4%","44.2%",NA,NA,"-3.9",2017,"21.8%","0.81","-1.8%","-91.7"
"Boston Red Sox",".245",".306",".406",".712",".304","3.1%","25.4%","7.5%","87.7","37.2%","25.1%","41.4%",NA,NA,"14.4",2017,"24.8%","0.72","10.9%","132.2"
"Chicago Cubs",".238",".315",".398",".713",".288","3.2%","23.6%","9.1%","86.9","36.3%","26.4%","45.8%",NA,NA,"9.2",2017,"20.3%","0.87","7.8%","62.7"
"Chicago White Sox",".254",".337",".450",".787",".282","3.9%","19.2%","10.2%","88.2","38.6%","25.3%","42.1%",NA,NA,"-7.3",2017,"24.6%","0.74","-1.6%","-80.4"
"Cincinnati Reds",".263",".345",".465",".810",".300","4.0%","20.7%","10.0%","87.3","36.1%","24.2%","44.2%",NA,NA,"-7.0",2017,"23.3%","0.83","-2.2%","-126.1"
"Cleveland Indians",".236",".294",".380",".673",".305","2.8%","27.5%","6.9%","87.3","36.6%","27.7%","44.1%",NA,NA,"22.3",2017,"20.1%","0.81","12.0%","218.4"
"Colorado Rockies",".264",".332",".439",".771",".309","3.1%","20.6%","8.6%","87.1","37.4%","24.8%","47.9%",NA,NA,"8.5",2017,"19.9%","0.95","7.0%","47.0"
"Detroit Tigers",".282",".348",".463",".811",".321","3.5%","19.1%","8.5%","88.2","38.3%","26.8%","39.6%",NA,NA,"-10.6",2017,"24.2%","0.67","-2.8%","-139.6"
"Houston Astros",".240",".313",".407",".720",".302","3.1%","26.1%","8.5%","87.0","37.5%","24.6%","46.8%",NA,NA,"6.4",2017,"20.8%","0.90","4.3%","36.6"
"Kansas City Royals",".265",".331",".434",".765",".305","3.2%","19.6%","8.4%","87.8","37.7%","24.0%","43.6%",NA,NA,"1.5",2017,"23.9%","0.79","-1.7%","-34.4"
"Los Angeles Angels",".251",".314",".429",".744",".291","3.7%","21.8%","7.8%","88.6","40.1%","25.4%","41.5%",NA,NA,"0.1",2017,"24.7%","0.72","-0.8%","34.1"
"Los Angeles Dodgers",".228",".290",".380",".671",".284","3.1%","26.1%","7.5%","86.3","32.5%","25.4%","42.5%",NA,NA,"16.2",2017,"22.0%","0.77","8.0%","156.9"
"Miami Marlins",".263",".344",".432",".776",".302","3.1%","19.0%","9.9%","87.6","37.2%","25.6%","42.0%",NA,NA,"-8.4",2017,"23.2%","0.75","-2.3%","-115.3"
"Milwaukee Brewers",".252",".326",".414",".741",".301","3.0%","21.8%","9.0%","86.2","34.2%","25.2%","45.3%",NA,NA,"5.6",2017,"20.1%","0.86","4.8%","54.8"
"Minnesota Twins",".266",".330",".446",".776",".298","3.6%","18.8%","7.8%","88.1","38.0%","25.3%","42.5%",NA,NA,"-1.2",2017,"24.0%","0.75","-2.6%","-31.3"
"New York Mets",".273",".345",".448",".794",".322","3.5%","21.5%","9.3%","87.0","35.7%","24.8%","43.8%",NA,NA,"-8.9",2017,"23.0%","0.81","-2.3%","-150.0"
"New York Yankees",".228",".298",".382",".680",".282","3.2%","25.7%","8.3%","87.3","37.2%","24.5%","45.9%",NA,NA,"7.3",2017,"21.5%","0.87","4.8%","114.7"
"Oakland Athletics",".261",".327",".439",".765",".296","3.4%","19.5%","8.1%","88.4","39.2%","25.5%","44.6%",NA,NA,"-10.9",2017,"22.1%","0.82","-1.8%","-94.2"
"Philadelphia Phillies",".265",".333",".447",".780",".307","3.5%","21.0%","8.5%","87.3","36.7%","25.4%","42.4%",NA,NA,"-6.4",2017,"22.6%","0.76","-2.2%","-48.6"
"Pittsburgh Pirates",".264",".330",".431",".761",".310","2.9%","20.3%","8.2%","87.3","37.4%","25.9%","44.5%",NA,NA,"-0.9",2017,"20.8%","0.84","-1.3%","3.8"
"San Diego Padres",".259",".333",".441",".775",".301","3.7%","21.5%","9.0%","87.7","37.7%","23.2%","47.0%",NA,NA,"-3.1",2017,"22.2%","0.92","-1.1%","-88.5"
"Seattle Mariners",".254",".318",".435",".754",".285","3.9%","20.3%","8.0%","88.4","38.9%","25.0%","40.4%",NA,NA,"-4.2",2017,"24.8%","0.69","-2.6%","-30.9"
"San Francisco Giants",".268",".331",".438",".768",".312","2.9%","19.6%","7.9%","87.9","37.7%","26.9%","42.2%",NA,NA,"-2.7",2017,"21.7%","0.76","-0.2%","-30.8"
"St. Louis Cardinals",".253",".320",".411",".731",".301","3.0%","22.0%","8.0%","86.9","34.9%","25.3%","46.1%",NA,NA,"4.4",2017,"20.9%","0.89","0.7%","37.7"
"Tampa Bay Rays",".242",".309",".403",".711",".285","3.2%","22.2%","8.3%","87.9","37.9%","24.7%","42.8%",NA,NA,"4.3",2017,"22.8%","0.77","0.8%","40.9"
"Texas Rangers",".261",".335",".434",".769",".290","3.5%","17.8%","9.0%","86.9","35.4%","25.3%","44.2%",NA,NA,"-1.4",2017,"21.7%","0.80","-1.5%","-30.8"
"Toronto Blue Jays",".258",".326",".429",".756",".304","3.2%","21.7%","8.7%","87.4","37.5%","23.9%","45.3%",NA,NA,"3.0",2017,"21.8%","0.84","-0.7%","-9.6"
"Washington Nationals",".239",".308",".396",".703",".290","3.1%","24.0%","8.2%","87.0","35.0%","23.7%","43.5%",NA,NA,"12.6",2017,"22.9%","0.80","3.4%","81.3"
"League Average",".255",".324",".426",".750",".300","3.3%","21.6%","8.5%","87.5","37.2%","25.1%","43.9%",NA,NA,"",2017,"22.4%","0.80","",""
"",".255",".324",".426",".750",".300","3.3%","21.6%","8.5%","87.5","37.2%","25.1%","43.9%",NA,NA,"",2017,"22.4%","0.80","",""
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2017,"FB%","GB/FB","cWPA","RE24"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2018,"FB%","GB/FB","cWPA","RE24"
"Arizona Diamondbacks",".239",".310",".388",".698",".292","2.8%","23.6%","8.5%","89.6","41.1%","24.2%","47.2%",NA,NA,"3.5",2018,"21.6%","0.92","1.6%","80.6"
"Atlanta Braves",".229",".314",".370",".684",".281","2.5%","23.1%","10.3%","88.5","37.5%","25.8%","43.0%",NA,NA,"6.5",2018,"22.7%","0.78","5.7%","50.7"
