"...1","Batting...2","Batting...3","Batting...4","Batting...5","Batting Ratios...6","Batting Ratios...7","Batting Ratios...8","Batted Ball...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Batted Ball...14","Batted Ball...15","Win Probability...16","Win Probability...17","Win Probability...18","Baserunning...19","Baserunning...20","Baserunning...21","Year","Batted Ball...16","Batted Ball...17","Win Probability...19","Win Probability...20","Baserunning...22","Baserunning...23"
"New York Mets",".315","97",".283",".154","2.8%","22.7%","9.2%","88.0","36.2%","23.7%","41.8%","24.4%","0.73","28.8%",NA,NA,"-7.3",NA,NA,"29%",2018,"53.2%","18.0%","-1.3%","-8.4","65%","44%"
"New York Yankees",".341","112",".285",".202","4.3%","22.7%","10.0%","89.8","41.4%","23.3%","41.8%","26.1%","0.73","29.2%",NA,NA,"10.3",NA,NA,"32%",2018,"53.2%","17.6%","5.6%","120.1","75%","41%"
"Oakland Athletics",".334","111",".294",".187","3.6%","22.1%","8.8%","89.9","42.3%","25.6%","40.1%","25.8%","0.67","28.6%",NA,NA,"3.8",NA,NA,"32%",2018,"52.7%","18.7%","0.3%","86.7","63%","45%"
"Philadelphia Phillies",".316","87",".289",".158","3.0%","24.8%","9.5%","88.6","39.2%","23.2%","42.5%","23.9%","0.76","30.5%",NA,NA,"-5.6",NA,NA,"28%",2018,"51.2%","18.2%","-4.2%","-29.8","73%","38%"
"Pittsburgh Pirates",".321","97",".298",".154","2.6%","20.3%","7.8%","88.4","37.8%","25.1%","43.6%","22.6%","0.80","27.9%",NA,NA,"-1.0",NA,NA,"30%",2018,"52.0%","20.1%","0.1%","9.8","65%","41%"
"San Diego Padres",".303","86",".294",".145","2.7%","25.1%","7.8%","88.7","37.7%","24.0%","46.2%","20.1%","0.89","27.8%",NA,NA,"-9.7",NA,NA,"28%",2018,"54.0%","18.1%","-1.9%","-74.7","73%","39%"
"Seattle Mariners",".318","102",".295",".154","2.9%","20.1%","7.1%","89.1","39.1%","24.5%","45.1%","22.6%","0.85","29.0%",NA,NA,"1.4",NA,NA,"28%",2018,"53.0%","18.0%","0.6%","-36.4","68%","38%"
"San Francisco Giants",".299","84",".299",".129","2.2%","24.0%","7.3%","87.6","36.2%","25.6%","44.3%","21.7%","0.82","27.0%",NA,NA,"-8.8",NA,NA,"28%",2018,"52.8%","20.2%","-2.0%","-83.3","69%","40%"
"St. Louis Cardinals",".324","98",".294",".160","3.3%","22.3%","8.5%","88.9","39.9%","24.9%","42.6%","24.0%","0.77","28.1%",NA,NA,"6.6",NA,NA,"31%",2018,"53.1%","18.9%","4.0%","67.0","66%","41%"
"Tampa Bay Rays",".328","105",".317",".148","2.4%","22.4%","8.7%","87.8","36.1%","25.2%","45.5%","20.8%","0.86","26.8%",NA,NA,"-3.3",NA,NA,"29%",2018,"52.2%","21.0%","-3.2%","-3.6","72%","40%"
"Texas Rangers",".321","88",".292",".164","3.2%","24.1%","9.0%","88.4","37.4%","24.2%","43.4%","23.3%","0.80","28.7%",NA,NA,"-7.2",NA,NA,"30%",2018,"53.0%","18.3%","-1.7%","-27.4","68%","42%"
"Toronto Blue Jays",".324","102",".286",".183","3.6%","22.8%","8.2%","89.8","43.6%","25.0%","41.5%","24.9%","0.71","29.0%",NA,NA,"-0.7",NA,NA,"29%",2018,"52.3%","18.8%","-0.4%","-15.8","61%","35%"
"Washington Nationals",".335","96",".297",".164","3.0%","20.5%","10.0%","88.4","39.0%","25.0%","43.5%","22.0%","0.80","27.7%",NA,NA,"-1.9",NA,NA,"30%",2018,"53.4%","18.9%","-4.1%","55.9","78%","39%"
"League Average",".323","97",".296",".161","3.0%","22.3%","8.5%","88.7","38.8%","25.0%","43.1%","23.1%","0.78","28.6%",NA,NA,"-2",NA,NA,"30%",2018,"52.8%","18.5%","-0%","2","72%","41%"
"",".323","97",".296",".161","3.0%","22.3%","8.5%","88.7","38.8%","25.0%","43.1%","23.1%","0.78","28.6%",NA,NA,"-61.8",NA,NA,"30%",2018,"52.8%","18.5%","-0.8%","65.6","72%","41%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2018,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2019,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Arizona Diamondbacks",".329","93",".293",".182","3.5%","21.5%","8.6%","88.1","37.5%","24.4%","43.0%","24.2%","0.78","29.8%",NA,NA,"-1.8",NA,NA,"32%",2019,"52.9%","17.3%","-2.7%","38.0","86%","44%"
"Atlanta Braves",".342","98",".305",".195","4.0%","23.3%","9.8%","89.6","41.7%","27.4%","40.3%","25.0%","0.69","30.7%",NA,NA,"7.1",NA,NA,"32%",2019,"50.5%","18.8%","6.5%","80.4","76%","45%"
"Baltimore Orioles",".316","90",".293",".168","3.4%","23.2%","7.5%","88.0","36.7%","24.4%","43.6%","22.7%","0.80","29.9%",NA,NA,"-11.5",NA,NA,"30%",2019,"53.1%","17.1%","-2.3%","-80.7","74%","40%"
"Boston Red Sox",".347","107",".313",".197","3.8%","21.3%","9.1%","90.3","44.7%","24.7%","43.0%","24.9%","0.76","28.5%",NA,NA,"1.3",NA,NA,"33%",2019,"52.8%","18.7%","1.1%","78.3","69%","44%"
"Chicago Cubs",".337","101",".297",".200","4.1%","23.6%","9.4%","89.2","40.2%","24.6%","45.3%","22.3%","0.85","28.6%",NA,NA,"1.7",NA,NA,"31%",2019,"52.9%","18.5%","1.2%","52.5","65%","44%"
"Chicago White Sox",".318","94",".329",".153","3.0%","25.6%","6.3%","89.3","40.8%","25.9%","45.6%","20.8%","0.86","27.2%",NA,NA,"-4.6",NA,NA,"30%",2019,"52.9%","20.0%","-0.3%","-70.2","69%","40%"
"Cincinnati Reds",".320","83",".288",".178","3.7%","23.5%","8.1%","87.6","35.8%","24.7%","41.5%","24.9%","0.73","28.7%",NA,NA,"-13.2",NA,NA,"28%",2019,"51.2%","20.1%","-4.5%","-78.9","68%","38%"
"Cleveland Indians",".326","93",".289",".183","3.6%","21.8%","9.2%","89.6","41.0%","23.7%","42.3%","24.6%","0.76","31.5%",NA,NA,"-2.5",NA,NA,"31%",2019,"51.6%","17.0%","-2.8%","-30.8","75%","42%"
"Colorado Rockies",".337","86",".321",".190","3.6%","23.9%","7.8%","88.5","38.6%","26.2%","41.9%","23.4%","0.75","27.0%",NA,NA,"-2.1",NA,NA,"34%",2019,"53.4%","19.6%","0.3%","10.3","70%","46%"
"Detroit Tigers",".297","76",".308",".148","2.5%","26.4%","6.5%","88.4","39.4%","26.4%","41.7%","23.7%","0.73","27.4%",NA,NA,"-21.5",NA,NA,"26%",2019,"53.5%","19.1%","-3.1%","-228.8","74%","42%"
"Houston Astros",".360","119",".296",".221","4.5%","18.2%","10.1%","88.7","39.5%","25.6%","41.0%","24.2%","0.71","30.5%",NA,NA,"6.6",NA,NA,"32%",2019,"53.1%","16.5%","3.1%","119.5","71%","33%"
"Kansas City Royals",".310","84",".301",".154","2.7%","23.1%","7.5%","88.1","36.3%","25.0%","43.8%","22.7%","0.80","28.6%",NA,NA,"-12.4",NA,NA,"31%",2019,"52.7%","18.7%","-1.4%","-113.1","75%","40%"
"Los Angeles Angels",".324","96",".281",".175","3.5%","20.4%","9.4%","88.4","37.4%","25.1%","43.1%","23.4%","0.76","31.8%",NA,NA,"-5.7",NA,NA,"30%",2019,"51.1%","17.2%","-0.8%","-32.3","76%","37%"
"Los Angeles Dodgers",".347","111",".291",".215","4.4%","21.6%","9.7%","89.6","42.0%","25.3%","40.1%","25.7%","0.69","31.0%",NA,NA,"11.9",NA,NA,"33%",2019,"51.6%","17.4%","5.2%","139.0","85%","40%"
"Miami Marlins",".297","76",".300",".134","2.4%","24.3%","6.5%","88.5","38.3%","23.8%","48.1%","21.3%","0.95","24.1%",NA,NA,"-17.5",NA,NA,"28%",2019,"55.8%","20.1%","-3.1%","-147.7","65%","36%"
"Milwaukee Brewers",".332","96",".296",".192","4.0%","24.8%","10.0%","90.1","43.5%","24.5%","43.4%","24.4%","0.78","27.5%",NA,NA,"1.0",NA,NA,"28%",2019,"52.8%","19.6%","-0.9%","-4.0","80%","39%"
"Minnesota Twins",".353","118",".300",".224","4.8%","20.9%","8.2%","90.2","43.3%","26.7%","38.4%","26.0%","0.63","31.6%",NA,NA,"10.0",NA,NA,"34%",2019,"51.9%","16.5%","7.1%","147.8","57%","40%"
"New York Mets",".334","106",".299",".185","3.9%","22.0%","8.2%","89.3","41.0%","25.3%","44.5%","22.5%","0.83","27.3%",NA,NA,"3.6",NA,NA,"30%",2019,"54.0%","18.7%","0.1%","45.9","67%","38%"
"New York Yankees",".352","118",".306",".222","4.9%","23.0%","9.1%","90.5","44.2%","25.4%","41.7%","24.9%","0.72","27.5%",NA,NA,"13.6",NA,NA,"35%",2019,"54.1%","18.4%","8.4%","172.3","71%","40%"
"Oakland Athletics",".335","110",".282",".199","4.1%","21.3%","9.2%","89.8","42.2%","24.9%","41.2%","25.4%","0.71","30.1%",NA,NA,"6.9",NA,NA,"33%",2019,"52.1%","17.8%","5.9%","70.9","70%","42%"
"Philadelphia Phillies",".324","90",".293",".181","3.4%","23.2%","9.0%","89.1","40.5%","24.8%","42.0%","22.9%","0.75","28.4%",NA,NA,"-1.7",NA,NA,"31%",2019,"53.4%","18.3%","-0.1%","0.2","81%","40%"
"Pittsburgh Pirates",".323","94",".309",".156","2.6%","19.5%","6.8%","88.5","37.6%","25.5%","46.1%","20.7%","0.88","27.0%",NA,NA,"-0.5",NA,NA,"32%",2019,"53.1%","19.9%","-0.3%","-4.2","69%","42%"
"San Diego Padres",".312","89",".293",".172","3.6%","26.3%","8.4%","89.1","40.7%","22.4%","45.3%","22.4%","0.86","27.3%",NA,NA,"-10.3",NA,NA,"28%",2019,"54.7%","18.0%","-2.7%","-62.4","65%","45%"
"Seattle Mariners",".321","100",".287",".187","3.9%","25.5%","9.5%","87.6","35.5%","24.9%","40.5%","25.5%","0.69","29.5%",NA,NA,"-3.2",NA,NA,"30%",2019,"51.5%","19.0%","0.1%","-19.5","71%","40%"
"San Francisco Giants",".304","83",".290",".153","2.7%","23.3%","7.7%","87.9","38.8%","25.6%","42.5%","23.7%","0.76","28.7%",NA,NA,"-11.0",NA,NA,"30%",2019,"52.2%","19.2%","-4.0%","-84.6","63%","41%"
"St. Louis Cardinals",".327","96",".292",".170","3.4%","23.0%","9.1%","87.9","37.5%","24.9%","40.8%","24.5%","0.71","28.1%",NA,NA,"0.7",NA,NA,"31%",2019,"54.6%","17.3%","2.0%","20.5","80%","43%"
"Tampa Bay Rays",".327","102",".306",".178","3.5%","23.8%","8.6%","89.8","42.1%","25.6%","44.5%","22.6%","0.81","28.3%",NA,NA,"-2.1",NA,NA,"30%",2019,"52.5%","19.3%","-1.1%","-15.6","72%","41%"
"Texas Rangers",".328","88",".304",".183","3.6%","25.4%","8.6%","89.7","42.3%","25.6%","42.9%","23.1%","0.77","28.7%",NA,NA,"-3.8",NA,NA,"33%",2019,"52.7%","18.7%","-1.1%","-21.4","78%","41%"
"Toronto Blue Jays",".316","93",".280",".192","4.1%","24.9%","8.4%","89.1","40.5%","24.4%","39.9%","25.9%","0.67","30.9%",NA,NA,"-10.1",NA,NA,"29%",2019,"52.8%","16.3%","-3.3%","-65.6","72%","38%"
"Washington Nationals",".346","104",".306",".190","3.7%","20.9%","9.3%","88.7","41.0%","25.0%","40.4%","24.5%","0.71","29.6%",NA,NA,"8.9",NA,NA,"34%",2019,"52.4%","18.0%","4.9%","113.5","80%","41%"
"League Average",".328","97",".298",".183","3.6%","23.0%","8.5%","89.0","40.0%","25.1%","42.6%","23.8%","0.76","28.9%",NA,NA,"-2",NA,NA,"31%",2019,"52.8%","18.3%","0%","1","73%","41%"
"",".328","97",".298",".183","3.6%","23.0%","8.5%","89.0","40.0%","25.1%","42.6%","23.8%","0.76","28.9%",NA,NA,"-62.1",NA,NA,"31%",2019,"52.8%","18.3%","11.4%","29.2","73%","41%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2019,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2020,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Arizona Diamondbacks",".313","89",".282",".150","2.6%","20.6%","8.1%","87.6","35.8%","27.8%","43.7%","20.4%","0.79","31.3%",NA,NA,"-2.3",NA,NA,"32%",2020,"53.0%","15.7%","-1.8%","-11.7","77%","48%"
"Atlanta Braves",".364","117",".322",".215","4.4%","24.5%","10.2%","89.4","43.0%","31.2%","39.0%","22.8%","0.64","30.7%",NA,NA,"1.9",NA,NA,"34%",2020,"51.6%","17.7%","1.3%","52.3","85%","46%"
"Baltimore Orioles",".330","102",".309",".171","3.4%","22.9%","7.3%","85.6","33.7%","29.0%","40.5%","18.8%","0.71","31.0%",NA,NA,"-3.5",NA,NA,"30%",2020,"52.0%","17.0%","-1.9%","-15.4","58%","39%"
"Boston Red Sox",".340","103",".321",".180","3.5%","23.7%","8.1%","88.3","36.9%","27.6%","44.8%","21.4%","0.82","28.4%",NA,NA,"-0.6",NA,NA,"31%",2020,"55.9%","15.7%","-1.3%","-5.1","78%","42%"
"Chicago Cubs",".319","93",".270",".167","3.3%","25.7%","10.3%","88.5","40.4%","26.4%","46.5%","19.1%","0.88","29.6%",NA,NA,"-2.9",NA,NA,"30%",2020,"55.9%","14.5%","-0.6%","-20.1","71%","53%"
"Chicago White Sox",".342","112",".314",".192","4.2%","25.2%","7.9%","88.6","40.3%","28.4%","45.8%","18.3%","0.85","26.6%",NA,NA,"1.6",NA,NA,"32%",2020,"54.5%","18.9%","1.4%","22.8","71%","43%"
"Cincinnati Reds",".319","83",".245",".191","4.2%","25.2%","11.3%","87.9","37.5%","26.9%","41.0%","26.5%","0.70","31.6%",NA,NA,"-3.3",NA,NA,"26%",2020,"52.8%","15.6%","-2.4%","-40.4","76%","40%"
"Cleveland Indians",".308","87",".277",".144","2.6%","23.0%","10.6%","87.4","35.9%","27.4%","43.8%","19.3%","0.80","30.7%",NA,NA,"-4.3",NA,NA,"28%",2020,"50.8%","18.5%","-2.7%","-41.7","71%","40%"
"Colorado Rockies",".317","77",".316",".148","2.8%","24.1%","7.1%","86.1","31.9%","28.9%","40.6%","21.4%","0.70","27.1%",NA,NA,"-4.0",NA,NA,"33%",2020,"53.5%","19.4%","-2.5%","-33.9","82%","52%"
"Detroit Tigers",".310","89",".314",".152","3.0%","27.3%","7.1%","88.4","39.7%","29.6%","43.6%","18.9%","0.78","27.6%",NA,NA,"-2.1",NA,NA,"32%",2020,"54.5%","17.8%","-0.1%","-20.6","76%","42%"
"Houston Astros",".320","95",".273",".168","3.1%","19.7%","8.6%","87.8","35.3%","28.5%","40.7%","21.8%","0.70","32.7%",NA,NA,"-2.1",NA,NA,"33%",2020,"52.3%","15.1%","-1.3%","-11.3","67%","40%"
"Kansas City Royals",".317","90",".297",".158","3.1%","24.0%","7.8%","85.9","34.1%","29.1%","42.7%","18.5%","0.78","29.7%",NA,NA,"-6.1",NA,NA,"29%",2020,"55.0%","15.3%","-3.1%","-37.4","71%","48%"
"Los Angeles Angels",".335","106",".284",".182","3.7%","21.2%","10.4%","88.7","37.2%","28.2%","42.4%","20.8%","0.74","31.0%",NA,NA,"-0.9",NA,NA,"30%",2020,"51.6%","17.4%","-1.2%","4.4","72%","41%"
"Los Angeles Dodgers",".358","120",".276",".227","5.1%","20.3%","9.8%","89.6","44.3%","29.3%","39.2%","24.7%","0.65","31.8%",NA,NA,"5.9",NA,NA,"35%",2020,"51.5%","16.8%","0.6%","58.6","78%","41%"
"Miami Marlins",".320","92",".306",".141","2.8%","24.8%","8.8%","86.9","34.7%","26.4%","47.7%","18.8%","0.93","27.5%",NA,NA,"-2.0",NA,NA,"32%",2020,"53.9%","18.6%","-1.1%","-13.0","78%","42%"
"Milwaukee Brewers",".312","86",".278",".166","3.4%","26.6%","10.1%","88.0","37.0%","31.4%","44.0%","17.8%","0.79","28.3%",NA,NA,"-5.3",NA,NA,"28%",2020,"55.6%","16.1%","-6.3%","-42.9","58%","35%"
"Minnesota Twins",".324","102",".283",".186","4.2%","24.4%","8.6%","88.8","39.9%","28.4%","39.2%","23.6%","0.65","31.5%",NA,NA,"-0.3",NA,NA,"29%",2020,"49.7%","18.8%","0.3%","-2.7","67%","43%"
"New York Mets",".352","121",".320",".187","3.8%","21.9%","8.6%","88.2","37.4%","28.6%","46.2%","18.5%","0.86","27.5%",NA,NA,"-1.1",NA,NA,"28%",2020,"54.7%","17.8%","-0.6%","7.3","67%","33%"
"New York Yankees",".349","120",".280",".200","4.3%","21.7%","11.4%","88.8","39.5%","29.1%","44.1%","19.9%","0.80","28.8%",NA,NA,"2.0",NA,NA,"33%",2020,"54.0%","17.2%","1.8%","46.6","79%","42%"
"Oakland Athletics",".321","101",".271",".171","3.2%","23.8%","10.8%","88.8","37.4%","28.7%","37.6%","23.5%","0.61","31.5%",NA,NA,"-0.5",NA,NA,"31%",2020,"51.7%","16.8%","0.0%","1.8","90%","48%"
"Philadelphia Phillies",".347","111",".299",".183","3.7%","21.6%","10.3%","87.3","37.9%","27.5%","41.3%","21.6%","0.73","29.1%",NA,NA,"2.5",NA,NA,"33%",2020,"52.9%","18.0%","1.9%","31.2","81%","45%"
"Pittsburgh Pirates",".285","71",".268",".137","2.8%","24.4%","7.8%","87.7","37.2%","26.7%","46.9%","19.7%","0.90","26.7%",NA,NA,"-7.5",NA,NA,"29%",2020,"55.9%","17.4%","-2.6%","-69.4","59%","37%"
"San Diego Padres",".348","118",".291",".209","4.3%","21.5%","9.1%","88.9","42.4%","29.8%","43.4%","19.0%","0.79","29.8%",NA,NA,"5.3",NA,NA,"35%",2020,"53.8%","16.5%","3.0%","50.0","81%","43%"
"Seattle Mariners",".306","91",".281",".144","2.8%","25.0%","9.5%","87.5","36.5%","26.8%","43.7%","20.7%","0.78","27.3%",NA,NA,"-1.4",NA,NA,"31%",2020,"54.8%","18.0%","-1.0%","-18.8","76%","50%"
"San Francisco Giants",".344","115",".311",".187","3.6%","22.1%","8.6%","88.5","39.6%","29.6%","40.7%","22.0%","0.69","30.6%",NA,NA,"1.0",NA,NA,"32%",2020,"52.2%","17.1%","-0.4%","16.7","70%","34%"
"St. Louis Cardinals",".310","93",".290",".137","2.5%","23.7%","10.2%","87.0","34.9%","28.6%","42.2%","21.0%","0.74","30.1%",NA,NA,"-2.4",NA,NA,"31%",2020,"53.8%","16.2%","-1.8%","-14.3","64%","45%"
"Tampa Bay Rays",".334","111",".300",".187","3.5%","26.9%","10.8%","88.6","39.4%","28.0%","43.7%","20.3%","0.78","32.1%",NA,NA,"2.6",NA,NA,"31%",2020,"51.9%","16.0%","1.7%","14.9","84%","51%"
"Texas Rangers",".291","77",".266",".147","2.9%","25.5%","7.8%","88.0","37.4%","25.3%","44.0%","20.9%","0.80","28.2%",NA,NA,"-4.4",NA,NA,"29%",2020,"54.7%","17.1%","-1.7%","-55.4","78%","43%"
"Toronto Blue Jays",".341","110",".297",".186","3.9%","22.5%","9.0%","89.0","42.3%","28.0%","43.3%","21.4%","0.78","29.8%",NA,NA,"1.0",NA,NA,"33%",2020,"52.0%","18.2%","0.5%","15.2","85%","35%"
"Washington Nationals",".336","106",".308",".170","3.0%","20.3%","8.7%","87.0","35.5%","29.3%","43.7%","19.7%","0.79","26.4%",NA,NA,"-3.6",NA,NA,"33%",2020,"55.1%","18.5%","-2.7%","12.1","73%","34%"
"League Average",".327","100",".292",".173","3.5%","23.4%","9.2%","88.0","37.8%","28.4%","42.8%","20.7%","0.76","29.5%",NA,NA,"-1",NA,NA,"31%",2020,"53.4%","17.1%","-1%","-4","75%","42%"
"",".327","100",".292",".173","3.5%","23.4%","9.2%","88.0","37.8%","28.4%","42.8%","20.7%","0.76","29.5%",NA,NA,"-36.9",NA,NA,"31%",2020,"53.4%","17.1%","-24.8%","-120.1","75%","42%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2020,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2021,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Arizona Diamondbacks",".308","85",".295",".146","2.3%","23.8%","8.7%","86.9","35.8%","23.6%","42.5%","25.0%","0.76","29.2%",NA,NA,"-10.5",NA,NA,"30%",2021,"52.3%","18.5%","-1.1%","-68.2","73%","43%"
"Atlanta Braves",".330","96",".288",".191","4.0%","24.0%","9.1%","88.7","40.9%","24.1%","40.1%","27.9%","0.68","29.5%",NA,NA,"0.2",NA,NA,"33%",2021,"54.3%","16.2%","1.2%","51.8","76%","44%"
"Baltimore Orioles",".308","90",".290",".163","3.3%","24.3%","7.5%","87.8","36.9%","23.9%","41.4%","25.6%","0.72","28.6%",NA,NA,"-12.1",NA,NA,"28%",2021,"53.1%","18.3%","-2.6%","-94.3","70%","39%"
"Boston Red Sox",".337","105",".309",".188","3.6%","22.6%","8.4%","89.6","42.6%","25.0%","40.5%","26.4%","0.69","28.0%",NA,NA,"6.3",NA,NA,"34%",2021,"52.8%","19.2%","5.2%","61.7","66%","41%"
"Chicago Cubs",".320","93",".296",".171","3.5%","26.7%","8.4%","87.7","39.0%","21.7%","44.2%","25.7%","0.82","29.2%",NA,NA,"-4.1",NA,NA,"30%",2021,"53.5%","17.3%","-4.3%","-26.3","70%","40%"
"Chicago White Sox",".336","108",".310",".166","3.1%","22.8%","9.6%","88.6","39.9%","24.2%","45.9%","23.5%","0.86","27.2%",NA,NA,"3.9",NA,NA,"32%",2021,"54.1%","18.7%","3.3%","57.8","74%","44%"
"Cincinnati Reds",".334","94",".296",".182","3.6%","23.1%","9.0%","87.6","38.2%","24.0%","41.8%","26.6%","0.74","30.1%",NA,NA,"-4.2",NA,NA,"31%",2021,"52.4%","17.5%","-4.2%","9.4","60%","35%"
"Cleveland Indians",".314","94",".282",".169","3.4%","23.5%","7.7%","88.2","38.9%","23.6%","43.4%","24.2%","0.78","28.4%",NA,NA,"-4.2",NA,NA,"32%",2021,"54.2%","17.4%","-2.0%","-25.1","87%","43%"
"Colorado Rockies",".323","82",".299",".165","3.0%","22.6%","8.2%","86.5","36.2%","22.7%","44.0%","25.3%","0.82","25.0%",NA,NA,"-3.9",NA,NA,"32%",2021,"56.0%","19.0%","-1.2%","-35.7","77%","45%"
"Detroit Tigers",".311","96",".300",".158","3.0%","25.3%","8.2%","87.9","38.2%","24.8%","41.5%","26.5%","0.72","29.1%",NA,NA,"-7.0",NA,NA,"31%",2021,"51.9%","19.0%","-2.6%","-49.3","78%","41%"
"Houston Astros",".341","113",".303",".177","3.5%","19.4%","9.0%","89.1","40.9%","25.2%","40.6%","26.6%","0.69","29.1%",NA,NA,"4.6",NA,NA,"33%",2021,"54.2%","16.7%","4.2%","105.4","77%","36%"
"Kansas City Royals",".310","88",".292",".147","2.7%","21.0%","7.0%","88.2","39.2%","22.9%","42.8%","26.3%","0.77","29.0%",NA,NA,"-3.8",NA,NA,"31%",2021,"54.7%","16.3%","-1.7%","-71.5","79%","39%"
"Los Angeles Angels",".312","90",".294",".162","3.2%","23.2%","7.7%","87.0","35.4%","24.3%","42.7%","24.6%","0.77","28.6%",NA,NA,"-4.5",NA,NA,"32%",2021,"53.0%","18.4%","-1.1%","-34.3","75%","41%"
"Los Angeles Dodgers",".335","100",".284",".185","3.8%","22.6%","9.8%","88.9","40.4%","22.8%","40.0%","29.8%","0.68","29.9%",NA,NA,"2.3",NA,NA,"33%",2021,"53.6%","16.6%","0.7%","72.3","79%","39%"
"Miami Marlins",".300","78",".296",".139","2.7%","26.2%","7.6%","87.3","37.2%","22.9%","45.3%","23.5%","0.85","26.6%",NA,NA,"-14.7",NA,NA,"28%",2021,"54.7%","18.7%","-4.5%","-115.6","79%","41%"
"Milwaukee Brewers",".319","92",".283",".163","3.2%","24.0%","9.6%","87.8","38.4%","23.0%","43.3%","25.8%","0.78","29.1%",NA,NA,"-1.6",NA,NA,"31%",2021,"53.4%","17.5%","-0.7%","-1.1","80%","42%"
"Minnesota Twins",".322","102",".282",".182","3.8%","23.1%","8.6%","89.5","41.6%","24.3%","42.4%","26.5%","0.74","31.5%",NA,NA,"-5.0",NA,NA,"29%",2021,"52.6%","15.9%","-1.6%","-24.3","78%","37%"
"New York Mets",".315","94",".291",".152","3.0%","23.8%","8.5%","87.4","38.0%","23.1%","43.5%","25.2%","0.79","28.1%",NA,NA,"-9.6",NA,NA,"28%",2021,"53.7%","18.1%","-7.0%","-65.7","68%","37%"
"New York Yankees",".321","100",".285",".169","3.7%","24.5%","10.3%","89.4","42.9%","23.2%","43.3%","25.5%","0.78","27.7%",NA,NA,"1.1",NA,NA,"28%",2021,"53.7%","18.6%","1.4%","-40.9","78%","36%"
"Oakland Athletics",".320","104",".278",".168","3.3%","22.1%","8.9%","88.6","39.7%","23.3%","41.0%","27.7%","0.70","29.8%",NA,NA,"2.3",NA,NA,"31%",2021,"54.2%","16.1%","0.7%","10.0","81%","46%"
"Philadelphia Phillies",".323","95",".286",".168","3.3%","23.0%","9.3%","87.0","37.1%","23.4%","43.8%","23.7%","0.82","28.0%",NA,NA,"1.8",NA,NA,"31%",2021,"53.0%","19.0%","-1.0%","3.7","80%","41%"
"Pittsburgh Pirates",".301","80",".290",".128","2.1%","22.2%","8.8%","86.6","34.4%","24.2%","44.8%","23.4%","0.84","27.2%",NA,NA,"-10.1",NA,NA,"28%",2021,"55.7%","17.1%","-3.4%","-118.4","67%","36%"
"San Diego Padres",".320","101",".287",".159","2.9%","21.6%","9.6%","88.5","40.8%","24.0%","45.0%","22.0%","0.84","27.4%",NA,NA,"-4.3",NA,NA,"31%",2021,"55.4%","17.2%","-2.0%","5.1","74%","41%"
"Seattle Mariners",".304","93",".273",".159","3.3%","24.8%","8.9%","87.5","37.3%","22.7%","41.7%","27.3%","0.72","29.1%",NA,NA,"1.4",NA,NA,"31%",2021,"54.2%","16.7%","-0.1%","-43.4","73%","34%"
"San Francisco Giants",".339","108",".295",".191","3.9%","23.6%","9.7%","87.8","38.9%","23.4%","39.5%","28.7%","0.67","30.2%",NA,NA,"7.8",NA,NA,"31%",2021,"53.1%","16.7%","6.5%","64.0","83%","38%"
"St. Louis Cardinals",".322","99",".287",".168","3.3%","22.4%","8.0%","87.8","37.5%","22.8%","40.5%","28.2%","0.70","29.5%",NA,NA,"0.7",NA,NA,"30%",2021,"53.8%","16.7%","-1.5%","-1.2","80%","43%"
"Tampa Bay Rays",".328","112",".294",".186","3.6%","24.8%","9.4%","88.6","40.0%","22.9%","42.4%","26.2%","0.74","29.4%",NA,NA,"7.3",NA,NA,"35%",2021,"52.9%","17.7%","5.6%","113.1","68%","47%"
"Texas Rangers",".297","82",".280",".143","2.8%","23.2%","7.3%","87.3","35.8%","22.5%","46.3%","23.3%","0.88","27.1%",NA,NA,"-17.1",NA,NA,"29%",2021,"54.4%","18.5%","-3.0%","-141.9","79%","41%"
